'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRIFFITH AIRPORT New South Wales for November 2019,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 December 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRIFFITH AIRPORT,01/11/2019,9.7,0.0, ,36.0,15.6,48,14,5.13,26.13
GRIFFITH AIRPORT,02/11/2019,7.9,0.0, ,34.5,25.0,99,20,8.49,11.88
GRIFFITH AIRPORT,03/11/2019,2.4,10.6, ,24.9,16.7,100,65,3.55,7.46
GRIFFITH AIRPORT,04/11/2019, ,19.0, ,21.6, ,100,32,4.67,27.16
GRIFFITH AIRPORT,05/11/2019,5.4,1.2, ,20.5,7.4,94,23,4.55,28.56
GRIFFITH AIRPORT,06/11/2019,8.3,0.2, ,29.6,8.4,90,16,6.78,26.09
GRIFFITH AIRPORT,07/11/2019,6.4,0.0, ,24.3,10.8,79,29,5.88,27.73
GRIFFITH AIRPORT,08/11/2019,5.0,0.0, ,19.8,10.8,79,36,8.22,17.44
GRIFFITH AIRPORT,09/11/2019,5.9,0.6, ,20.2,6.2,76,28,7.11,28.40
GRIFFITH AIRPORT,10/11/2019,6.2,0.0, ,24.4,9.3,77,28,4.54,28.75
GRIFFITH AIRPORT,11/11/2019,6.4,0.0, ,30.1,9.1,84,12,2.37,28.65
GRIFFITH AIRPORT,12/11/2019,9.1,0.0, ,25.4,14.6,45,15,8.40,28.66
GRIFFITH AIRPORT,13/11/2019,6.2,0.0, ,22.2,6.4,74,24,5.35,29.55
GRIFFITH AIRPORT,14/11/2019,6.1,0.0, ,25.5,9.3,79,28,3.70,29.47
GRIFFITH AIRPORT,15/11/2019,6.4,0.0, ,25.1,9.6,76,26,4.75,27.26
GRIFFITH AIRPORT,16/11/2019,6.6,0.0, ,23.5,12.3,68,18,4.54,28.13
GRIFFITH AIRPORT,17/11/2019,7.0,0.0, ,25.0,9.5,62,18,4.58,29.97
GRIFFITH AIRPORT,18/11/2019,6.4,0.0, ,30.0,8.7,66,17,2.25,30.09
GRIFFITH AIRPORT,19/11/2019,11.3,0.0, ,36.3,15.3,45,9,6.03,30.18
GRIFFITH AIRPORT,20/11/2019,9.7,0.0, ,37.5,17.9,42,11,3.97,30.22
GRIFFITH AIRPORT,21/11/2019,14.8,0.0, ,42.4,25.4,39,9,7.95,28.81
GRIFFITH AIRPORT,22/11/2019,8.6,0.0, ,31.4,16.8,59,12,4.80,27.63
GRIFFITH AIRPORT,23/11/2019,8.8,0.0, ,30.6,15.6,44,14,4.66,30.40
GRIFFITH AIRPORT,24/11/2019,8.1,0.0, ,32.5,15.5,57,16,3.56,30.68
GRIFFITH AIRPORT,25/11/2019,8.5,0.0, ,35.6,12.9,55,7,3.11,30.38
GRIFFITH AIRPORT,26/11/2019,7.8,0.0, ,21.8,14.3,64,14,9.34,25.56
GRIFFITH AIRPORT,27/11/2019,6.3,0.0, ,27.1,6.0,74,15,2.51,30.98
GRIFFITH AIRPORT,28/11/2019,6.3,0.0, ,34.0,9.1,52,9,1.39,30.28
GRIFFITH AIRPORT,29/11/2019,10.3,0.0, ,36.6,15.6,32,9,4.56,30.55
GRIFFITH AIRPORT,30/11/2019,6.6,0.0, ,25.5,14.8,85,14,5.71,20.48
Totals:,,218.5,31.6, ,,,,,, 